Technology,Mix incl. Nuclear,Current plans + Gas,RE + Gas,Medium RE + Gas,No Imports
Wind,8000,1200,4000,3000,15000
PV,9000,1000,4000,3500,25000
Geothermal,750,0,0,0,3500
Hydro,0,0,0,0,0
Biomass,700,90,90,1500,5000
CSP,5000,0,2000,2000,20000
Uranium,2000,0,0,0,0
Coal,1000,0,0,0,0
Oil,1500,470,470,470,5000
Gas,12000,18000,17500,16000,4000
Demand,15000,20000,23000,25000,14000
